run_id,model,method,budget_N,rho,seed,aligned_accuracy,bias_conflict_accuracy,pairwise_flip_rate,counterfactual_consistency,worst_group_accuracy,train_minutes,gpu_minutes,n80_pass,notes
lenet_dfr_N2500_seed0,lenet,dfr,2500,0.95,0,0.9941999912261963,0.966188907623291,0.029311111196875572,0.9222000241279602,0.8921971321105957,0.03355386008818944,0.03355386008818944,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N2500_seed1,lenet,dfr,2500,0.95,1,0.992900013923645,0.9695333242416382,0.025366665795445442,0.9307000041007996,0.9166666865348816,0.03296351134777069,0.03296351134777069,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N2500_seed2,lenet,dfr,2500,0.95,2,0.9936000108718872,0.9743221998214722,0.020899999886751175,0.9423999786376953,0.9335976243019104,0.03422967344522476,0.03422967344522476,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N2500_seed3,lenet,dfr,2500,0.95,3,0.993399977684021,0.9699888825416565,0.025699999183416367,0.9315000176429749,0.9187313914299011,0.07160243118802706,0.07160243118802706,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N2500_seed4,lenet,dfr,2500,0.95,4,0.9936000108718872,0.970644474029541,0.02500000037252903,0.9312999844551086,0.9204035997390747,0.05660424580176671,0.05660424580176671,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N50_seed0,lenet,dfr,50,0.999,0,0.9785000085830688,0.7235666513442993,0.26981112360954285,0.34369999170303345,0.15213178098201752,0.0020464090009530383,0.0020464090009530383,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N50_seed1,lenet,dfr,50,0.999,1,0.9832000136375427,0.6895666718482971,0.3051222264766693,0.2906999886035919,0.009910802356898785,0.0014710778991381328,0.0014710778991381328,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N50_seed2,lenet,dfr,50,0.999,2,0.986299991607666,0.7659777998924255,0.22716666758060455,0.383899986743927,0.024640657007694244,0.0018055438995361328,0.0018055438995361328,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N50_seed3,lenet,dfr,50,0.999,3,0.9761000275611877,0.7299110889434814,0.2588889002799988,0.3952000141143799,0.16860465705394745,0.0012617506086826324,0.0012617506086826324,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N50_seed4,lenet,dfr,50,0.999,4,0.9793000221252441,0.7203888893127441,0.2689666748046875,0.374099999666214,0.1472868174314499,0.0018482357263565063,0.0018482357263565063,False,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed0,lenet,dfr,500,0.99,0,0.9933000206947327,0.9311222434043884,0.0652666687965393,0.8230999708175659,0.7207392454147339,0.009492555260658264,0.009492555260658264,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed1,lenet,dfr,500,0.99,1,0.9932000041007996,0.9368888735771179,0.05861110985279083,0.8439000248908997,0.7892376780509949,0.010316321502129237,0.010316321502129237,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed2,lenet,dfr,500,0.99,2,0.9936000108718872,0.9412000179290771,0.054222222417593,0.8446000218391418,0.8025291562080383,0.02025990734497706,0.02025990734497706,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed3,lenet,dfr,500,0.99,3,0.9921000003814697,0.9415444731712341,0.05228888988494873,0.86080002784729,0.8275154232978821,0.010551015784343084,0.010551015784343084,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N500_seed4,lenet,dfr,500,0.99,4,0.9922000169754028,0.932544469833374,0.062388889491558075,0.8317999839782715,0.7957198619842529,0.007907576362291972,0.007907576362291972,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed0,lenet,dfr,5000,0.9,0,0.9933000206947327,0.9741888642311096,0.021122222766280174,0.9395999908447266,0.9158415794372559,0.13937582746148108,0.13937582746148108,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed1,lenet,dfr,5000,0.9,1,0.9937000274658203,0.9792555570602417,0.015744443982839584,0.95660001039505,0.9466118812561035,0.17795576378703118,0.17795576378703118,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed2,lenet,dfr,5000,0.9,2,0.9950000047683716,0.979366660118103,0.01684444397687912,0.9538000226020813,0.9197224974632263,0.1675536538163821,0.1675536538163821,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed3,lenet,dfr,5000,0.9,3,0.9951000213623047,0.9783666729927063,0.01778888888657093,0.9506000280380249,0.9353182911872864,0.15814625099301338,0.15814625099301338,True,source=autodl_rtx4090_cuda12_4
lenet_dfr_N5000_seed4,lenet,dfr,5000,0.9,4,0.9941999912261963,0.9775111079216003,0.01805555634200573,0.9502000212669373,0.9256689548492432,0.1623842716217041,0.1623842716217041,True,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed0,lenet,erm,0,1.0,0,1.0,0.0953555554151535,0.9046444296836853,0.0,0.0,1.7527052087088426,1.7527052087088426,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed1,lenet,erm,0,1.0,1,0.9998999834060669,0.060955554246902466,0.9390333294868469,0.0,0.0,1.4979069486260415,1.4979069486260415,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed2,lenet,erm,0,1.0,2,1.0,0.048011112958192825,0.9519888758659363,0.0,0.0,1.8198386823137602,1.8198386823137602,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed3,lenet,erm,0,1.0,3,1.0,0.08444444090127945,0.9155555367469788,0.0,0.0,1.4370401206115881,1.4370401206115881,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N0_seed4,lenet,erm,0,1.0,4,0.9998000264167786,0.0665111094713211,0.9334555268287659,0.0,0.0,1.5866101659834384,1.5866101659834384,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed0,lenet,erm,100,0.998,0,0.9986000061035156,0.5184333324432373,0.4811444580554962,0.0940999984741211,0.0,1.9059693415959675,1.9059693415959675,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed1,lenet,erm,100,0.998,1,0.9994000196456909,0.5522666573524475,0.4475555419921875,0.13529999554157257,0.013875124044716358,1.6564868571857612,1.6564868571857612,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed2,lenet,erm,100,0.998,2,0.9995999932289124,0.564477801322937,0.43540000915527344,0.15520000457763672,0.0,1.689659081896146,1.689659081896146,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed3,lenet,erm,100,0.998,3,0.9994999766349792,0.5526000261306763,0.4473111033439636,0.13349999487400055,0.0,1.5456820319096247,1.5456820319096247,False,source=autodl_rtx4090_cuda12_4
lenet_erm_N100_seed4,lenet,erm,100,0.998,4,0.9947999715805054,0.637677788734436,0.3617999851703644,0.2176000028848648,0.0,1.1788180934886137,1.1788180934886137,False,source=autodl_rtx4090_cuda12_4
